Loci	Mean_rho	Median	L95	U95
    -1.000	  94.64352	  94.53233	  83.83705	 108.00880
     0.200	   0.00532	   0.00013	   0.00001	   0.00101
     0.520	   0.00526	   0.00013	   0.00001	   0.00100
     1.320	   0.00463	   0.00013	   0.00001	   0.00099
     1.480	   0.00290	   0.00013	   0.00001	   0.00088
     1.660	   0.00070	   0.00013	   0.00001	   0.00083
     1.940	   0.00050	   0.00013	   0.00001	   0.00080
     3.320	   0.00050	   0.00013	   0.00001	   0.00080
     3.520	   0.00030	   0.00013	   0.00001	   0.00075
     4.420	   0.00023	   0.00013	   0.00001	   0.00075
     6.780	   0.00019	   0.00013	   0.00001	   0.00075
     7.160	   0.00019	   0.00013	   0.00001	   0.00075
     7.200	   0.00019	   0.00013	   0.00001	   0.00075
     7.260	   0.00019	   0.00013	   0.00001	   0.00075
     7.620	   0.00019	   0.00013	   0.00001	   0.00075
     8.480	   0.00019	   0.00013	   0.00001	   0.00075
     8.800	   0.00019	   0.00013	   0.00001	   0.00075
     9.020	   0.00019	   0.00013	   0.00001	   0.00075
     9.420	   0.00019	   0.00013	   0.00001	   0.00075
     9.620	   0.00019	   0.00013	   0.00001	   0.00075
     9.780	   0.00019	   0.00013	   0.00001	   0.00075
    10.340	   0.00019	   0.00013	   0.00001	   0.00075
    11.080	   0.00019	   0.00013	   0.00001	   0.00075
    11.380	   0.00019	   0.00013	   0.00001	   0.00075
    12.860	   0.00019	   0.00013	   0.00001	   0.00075
    13.160	   0.00019	   0.00013	   0.00001	   0.00075
    13.760	   0.00019	   0.00013	   0.00001	   0.00075
    13.800	   0.00019	   0.00013	   0.00001	   0.00075
    14.180	   0.00019	   0.00013	   0.00001	   0.00075
    14.480	   0.00019	   0.00013	   0.00001	   0.00075
    14.940	   0.00019	   0.00013	   0.00001	   0.00075
    15.160	   0.00019	   0.00013	   0.00001	   0.00069
    15.260	   0.00019	   0.00013	   0.00001	   0.00069
    15.460	   0.00019	   0.00013	   0.00001	   0.00069
    15.900	   0.00019	   0.00013	   0.00001	   0.00069
    16.080	   0.00019	   0.00013	   0.00001	   0.00069
    16.200	   0.00019	   0.00013	   0.00001	   0.00069
    17.080	   0.00019	   0.00013	   0.00001	   0.00069
    17.200	   0.00019	   0.00013	   0.00001	   0.00069
    17.420	   0.00019	   0.00013	   0.00001	   0.00069
    17.580	   0.00019	   0.00013	   0.00001	   0.00069
    17.680	   0.00019	   0.00013	   0.00001	   0.00069
    18.020	   0.00019	   0.00013	   0.00001	   0.00069
    18.360	   0.00019	   0.00013	   0.00001	   0.00069
    18.560	   0.00019	   0.00013	   0.00001	   0.00069
    19.580	   0.00019	   0.00013	   0.00001	   0.00069
    19.900	   0.00019	   0.00013	   0.00001	   0.00069
    20.160	   0.00019	   0.00013	   0.00001	   0.00069
    20.400	   0.00019	   0.00013	   0.00001	   0.00069
    20.900	   0.00019	   0.00013	   0.00001	   0.00069
    20.980	   0.00019	   0.00013	   0.00001	   0.00069
    21.460	   0.00019	   0.00013	   0.00001	   0.00069
    21.940	   0.00019	   0.00013	   0.00001	   0.00069
    22.040	   0.00019	   0.00013	   0.00001	   0.00069
    22.980	   0.00019	   0.00013	   0.00001	   0.00069
    23.020	   0.00019	   0.00013	   0.00001	   0.00069
    23.920	   0.00019	   0.00013	   0.00001	   0.00069
    24.560	   0.00019	   0.00013	   0.00001	   0.00069
    24.640	   0.00019	   0.00013	   0.00001	   0.00069
    24.860	   0.00019	   0.00013	   0.00001	   0.00069
    24.980	   0.00019	   0.00013	   0.00001	   0.00069
    25.140	   0.00019	   0.00013	   0.00001	   0.00069
    25.480	   0.00019	   0.00013	   0.00001	   0.00069
    25.560	   0.00019	   0.00013	   0.00001	   0.00069
    26.560	   0.00019	   0.00013	   0.00001	   0.00069
    26.940	   0.00019	   0.00013	   0.00001	   0.00069
    27.420	   0.00019	   0.00013	   0.00001	   0.00068
    27.480	   0.00019	   0.00013	   0.00001	   0.00068
    27.700	   0.00019	   0.00013	   0.00001	   0.00068
    28.040	   0.00019	   0.00013	   0.00001	   0.00068
    28.500	   0.00019	   0.00013	   0.00001	   0.00068
    28.800	   0.00019	   0.00013	   0.00001	   0.00068
    28.900	   0.00019	   0.00013	   0.00001	   0.00068
    29.380	   0.00019	   0.00013	   0.00001	   0.00068
    29.660	   0.00019	   0.00013	   0.00001	   0.00068
    29.840	   0.00019	   0.00013	   0.00001	   0.00068
